[03-Mar-2018 05:03:18 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/hw/Homework2/index.php on line 60
[03-Mar-2018 05:04:52 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/hw/Homework2/index.php on line 60
[03-Mar-2018 05:08:00 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/hw/Homework2/index.php on line 60
[03-Mar-2018 05:08:33 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/hw/Homework2/index.php on line 60
[03-Mar-2018 05:08:42 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/hw/Homework2/index.php on line 60
[03-Mar-2018 05:08:53 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/hw/Homework2/index.php on line 60
[03-Mar-2018 05:11:37 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/hw/Homework2/index.php on line 60
[05-Mar-2018 20:53:32 UTC] PHP Parse error:  syntax error, unexpected '>' in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 13
[05-Mar-2018 21:08:51 UTC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 15
[05-Mar-2018 21:09:03 UTC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 15
[05-Mar-2018 23:42:08 UTC] PHP Warning:  session_destroy(): Trying to destroy uninitialized session in /home/ubuntu/workspace/hw/Homework2/logout.php on line 8
[05-Mar-2018 23:55:26 UTC] PHP Warning:  session_destroy(): Trying to destroy uninitialized session in /home/ubuntu/workspace/hw/Homework2/logout.php on line 8
[05-Mar-2018 23:56:58 UTC] PHP Warning:  session_destroy(): Trying to destroy uninitialized session in /home/ubuntu/workspace/hw/Homework2/logout.php on line 8
[06-Mar-2018 00:02:53 UTC] PHP Warning:  session_destroy(): Trying to destroy uninitialized session in /home/ubuntu/workspace/hw/Homework2/logout.php on line 8
[06-Mar-2018 00:19:11 UTC] PHP Fatal error:  Cannot break/continue 1 level in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 89
[06-Mar-2018 00:20:47 UTC] PHP Fatal error:  Cannot break/continue 1 level in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 89
[06-Mar-2018 00:20:51 UTC] PHP Warning:  session_destroy(): Trying to destroy uninitialized session in /home/ubuntu/workspace/hw/Homework2/logout.php on line 8
[06-Mar-2018 00:21:34 UTC] PHP Warning:  session_destroy(): Trying to destroy uninitialized session in /home/ubuntu/workspace/hw/Homework2/logout.php on line 8
[06-Mar-2018 00:22:02 UTC] PHP Fatal error:  Cannot break/continue 1 level in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 89
[06-Mar-2018 00:22:22 UTC] PHP Fatal error:  Cannot break/continue 1 level in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 89
[06-Mar-2018 00:28:08 UTC] PHP Fatal error:  Cannot break/continue 1 level in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 90
[06-Mar-2018 00:45:37 UTC] PHP Fatal error:  Cannot break/continue 1 level in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 90
[06-Mar-2018 00:54:27 UTC] PHP Fatal error:  Cannot break/continue 1 level in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 90
[06-Mar-2018 00:54:29 UTC] PHP Warning:  session_destroy(): Trying to destroy uninitialized session in /home/ubuntu/workspace/hw/Homework2/logout.php on line 8
[06-Mar-2018 00:55:08 UTC] PHP Warning:  session_destroy(): Trying to destroy uninitialized session in /home/ubuntu/workspace/hw/Homework2/logout.php on line 8
[06-Mar-2018 00:59:45 UTC] PHP Fatal error:  Cannot break/continue 1 level in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 90
[06-Mar-2018 01:04:39 UTC] PHP Fatal error:  Cannot break/continue 1 level in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 90
[06-Mar-2018 01:04:42 UTC] PHP Warning:  session_destroy(): Trying to destroy uninitialized session in /home/ubuntu/workspace/hw/Homework2/logout.php on line 8
[06-Mar-2018 01:05:03 UTC] PHP Fatal error:  Cannot break/continue 1 level in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 90
[06-Mar-2018 01:05:13 UTC] PHP Fatal error:  Cannot break/continue 1 level in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 90
[06-Mar-2018 01:06:01 UTC] PHP Fatal error:  Cannot break/continue 1 level in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 90
[06-Mar-2018 01:06:52 UTC] PHP Fatal error:  Cannot break/continue 1 level in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 90
[06-Mar-2018 01:06:57 UTC] PHP Fatal error:  Cannot break/continue 1 level in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 90
[06-Mar-2018 01:07:17 UTC] PHP Fatal error:  Cannot break/continue 1 level in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 103
[06-Mar-2018 01:12:33 UTC] PHP Fatal error:  Cannot break/continue 1 level in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 98
[06-Mar-2018 01:14:04 UTC] PHP Warning:  session_destroy(): Trying to destroy uninitialized session in /home/ubuntu/workspace/hw/Homework2/logout.php on line 8
[06-Mar-2018 22:16:31 UTC] PHP Warning:  session_destroy(): Trying to destroy uninitialized session in /home/ubuntu/workspace/hw/Homework2/logout.php on line 8
[02-Apr-2018 22:00:47 UTC] PHP Notice:  Undefined variable: username in /home/ubuntu/workspace/hw/Homework2/login.php on line 58
[02-Apr-2018 22:02:17 UTC] PHP Notice:  Undefined variable: username in /home/ubuntu/workspace/hw/Homework2/login.php on line 58
[02-Apr-2018 22:03:01 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 31
[02-Apr-2018 22:03:01 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 63
[02-Apr-2018 22:03:01 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 83
[02-Apr-2018 22:03:49 UTC] PHP Warning:  session_destroy(): Trying to destroy uninitialized session in /home/ubuntu/workspace/hw/Homework2/logout.php on line 8
[02-Apr-2018 22:03:49 UTC] PHP Notice:  Undefined variable: username in /home/ubuntu/workspace/hw/Homework2/login.php on line 58
[16-Apr-2018 20:30:52 UTC] PHP Parse error:  syntax error, unexpected 'var' (T_VAR), expecting end of file in /home/ubuntu/workspace/hw/Homework4_Instagram/index.php on line 2
[16-Apr-2018 20:30:54 UTC] PHP Parse error:  syntax error, unexpected 'var' (T_VAR), expecting end of file in /home/ubuntu/workspace/hw/Homework4_Instagram/index.php on line 2
[16-Apr-2018 20:30:55 UTC] PHP Parse error:  syntax error, unexpected 'var' (T_VAR), expecting end of file in /home/ubuntu/workspace/hw/Homework4_Instagram/index.php on line 2
[16-Apr-2018 20:48:30 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 31
[16-Apr-2018 20:48:30 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 63
[16-Apr-2018 20:48:30 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 83
[16-Apr-2018 20:49:35 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 31
[16-Apr-2018 20:49:35 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 63
[16-Apr-2018 20:49:35 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 83
[16-Apr-2018 20:50:11 UTC] PHP Warning:  session_destroy(): Trying to destroy uninitialized session in /home/ubuntu/workspace/hw/Homework2/logout.php on line 8
[16-Apr-2018 20:50:11 UTC] PHP Notice:  Undefined variable: username in /home/ubuntu/workspace/hw/Homework2/login.php on line 58
[16-Apr-2018 20:50:38 UTC] PHP Notice:  Undefined variable: username in /home/ubuntu/workspace/hw/Homework2/login.php on line 58
[04-May-2018 09:22:25 UTC] PHP Notice:  Undefined variable: username in /home/ubuntu/workspace/hw/Homework2/login.php on line 58
[04-May-2018 09:23:26 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 31
[04-May-2018 09:23:26 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 63
[04-May-2018 09:23:26 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 83
[16-Oct-2018 03:44:15 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 31
[16-Oct-2018 03:44:15 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 63
[16-Oct-2018 03:44:15 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 83
[16-Oct-2018 03:45:06 UTC] PHP Notice:  A session had already been started - ignoring session_start() in /home/ubuntu/workspace/hw/Homework2/pdata.php on line 31
